__v,_id,bpne,btar,btle,id3,ida,marg,njs,nws,opd,opn1,opnb,opnn,pnt1,pnt2,pnt3,pnt4,pnt5,sarg1,sarg2,sarg3,texp,trm
0,6214e081672f78b4c7a07c07,,,,Outbreak of Pandemic Covid-19 and its Management,A0001,"Pandemics end not when disease transmission ceases, but rather when the disease ceases to be newsworthy. The end of a pandemic is more of a concern of lived experience than of biology making it a social rather than a medical event.",Indian Express,,31/12/2021,,,,,,,,,"Human behaviour and interactions also affect viral spread. In India, during the monsoons, due to crowding, a spike in vector-borne diseases (dengue and malaria) is common.","Lifestyle choices play an important role- school closures during summer and winter have been linked to reduced social contacts, and thereby a reduction in influenza cases.","As more individuals gain immunity either through infection or vaccination (herd immunity), they indirectly offer protection to those who are not infected. The disease spread slows and eventually halts as the virus is unable to find new hosts to infect.",,
0,6214e175f24135402c052b30,,,,Effectiveness of Vigilance Administration in Revenue and Banking Institutions and selected Central Public Sector Enterprises,A0002,"Sympathisers of anti-social elements weaken enforcement of uniform criminal laws. In such cases, cleansing of system with suitable legislation (including structural reform) helps. ",Business Line,,31/12/2021,,,,,,,,,"Initiatives include: Demonetisation, tax reforms, closure of shell companies, agricultural reforms, weeding out archaic laws, digitisation, Insolvency and Bankruptcy code and DBT transfers.","Faceless income tax assessment, online submission of application for government services like passport, driving license, cashless goods and services tax, a transparent resolution mechanism under IBC, etc., have the potential to clean the system. Digitisation, for example, leaves an audit trail, thereby preventing corrupt practices.","Structural reforms in education, agriculture, cooperative banks are second generation reforms. The implementation of these reforms is also the responsibility of the State government as these subjects are in the concurrent list. Recent agriculture reforms has been a failed endeavour in this regard.",,
0,62151bae725fd369a98447bd,,,,Mental Health in contemporary times,A0003,Drug epidemics are not like plague of locusts or earthquakes. They afflict societies that are already in trouble.,Mint,,31/12/2021,,,,,,,,,There is little doubt that the advanced disintegration of Qing Empire in 1840s was a precondition for the opioid epidemic that followed.,"In the American case, the most important previous opioid epidemic came during and after the Civil War. And on a smaller scale, there was widespread use of opium and heroin by American troops in Vietnam.",The fact that the current surge in drug deaths is concentrated almost entirely among those without college degree tells us that despair and disintegration were preconditions that gave the dealers the foothold they needed.,,
0,621520f7c030c08ccbe9bbf7,,,,India's position in the ongoing Climate Change Negotiations,A0004,One problem with trying to address climate change and debt with single package is that they do not align perfectly.,Mint,,31/12/2021,,,,,,,,,"Climate-mitigation financing is needed most in high income countries, with about one-third in Europe and the US and more than half in the Asia-Pacific region. With few exceptions, low income countries' contribution to global warming is negligible.","Of the many low-income countries, countries such as Haiti, Niger and South Sudan face both high debts and acute climate risk, while others confront only one of these problems. No distinction exists here with respect to financing the debt distress through conditional debt relief packages offered by IMF.","Since the 1980s, debt-for-nature swaps had not taken off. They were attractive for conservation organisations as long as they could purchase distressed debt at highly discounted prices and secure leverage for their donor funding.",,
0,6217342ddef6fc771824fe68,,,,"Inter-sectoral review of challenges of emerging and converging technologies, entities and practices",A0005,"Multi cloud-centric digital ""outsiders"" are disrupting almost every industry including financial services, healthcare, media and entertainment, retail, travel, logistics, education, consumer electronics and transportation among others.",Business Line,,30/12/2021,,,,,,,,,"Some organisations turn to the cloud for short-term gains like the ability to move spending from fixed capital to ongoing operations; to receive regular technology updates without doing a lot of heavy lifting; or to upscale their technology infrastructure and applications, seamlessly.","Most businesses choose multiple cloud providers, in part to reduce the risk of downtime and performance bottlenecks.","The significant results and outcomes arrive to those organisations that see cloud more as a liberator, freeing their technical people from spending most of their valuable time on system security, tuning, maintenance, provisioning and upgrades. The advantage here is to invest more time on developing unique yet profitable digital products and services.",,
0,62174f726a8bbb636f226a8a,,,,Development of Tourism Infrastructure in the country,T0001,,,,,,,,,,,,,,,,"The term niche may be used when a particular social group occupies a space or when a subculture occupies a specific niche within a larger community by appropriating specific places or infrastructure. Niche tourism refers to how a specific tourism product can be tailored to meet the needs of a particular audience/market segment. Niche tourism, through image creation, helps destinations to differentiate their tourism products and compete in an increasingly competitive and cluttered tourism environment. Niche tourism can take a geographical or demographic approach, product-related approach or consumer-related approach. This tourism is in contrast to mass-market approach of traditional tourism that targeted entire marketplaces, such as specific countries or regions with ""one size fits all"" experiences. Some examples of niche tourism include adventure tourism, bicycle tourism, sports tourism, gaming tourism, pro-poor tourism, or geo tourism. ",Niche Tourism
0,6217710e06b67104032c2eae,,,,Issues related to safety of Women,T0002,,,,,,,,,,,,,,,,"Sexism is linked to power in that those with power are typically treated with favour and those without power are typically discriminated against. Sexist assumptions about women and men, which manifest themselves as gender stereotypes, can rank one gender as superior to another. Such hierarchical thinking can be conscious and hostile, or it can be unconscious, manifesting itself as unconscious bias. Rank Sexism can touch everyone, but women are particularly affected. When a man calls a woman a girl, he places his association in that relationship as either father or boy. Clearly, what is at issue is power. A woman is a female who has a sense of her own identity and personal power, as well as a sense of her sexuality. A girl is an immature female, a child, whose sexuality is not threatening. Rank Sexism is also related to stereotypes since discriminatory actions or attitudes are frequently based on false beliefs or generalisations about gender, and on considering gender as relevant where it is not. ",Rank Sexism
0,62177392094b8cced0bb0706,,,,Effective Implementation of Labour Laws concerning the welfare of contract/casual labour,T0003,,,,,,,,,,,,,,,,"Occupational licensing is the process by which governments establish qualifications required to practice a trade or profession, so that only licensed practitioners are allowed by law to receive pay for doing work in the occupation. In 1960s and 1970s, majority of the licensed occupations comprised of doctors, dentists and lawyers. Presently, certain licensed occupations are turning into glorified guilds. To be a certified chartered accountant in India, one must have three years of articled training and pass an examination. Also, occupational licensing places limits on the activities that the licensees are legally allowed to perform as part of that profession such as demonstrating good moral character, working with or for local practitioners, and engaging in ongoing professional development activities (an investment that continues throughout the worker’s career). Sometimes, it could also hamper mobility, acting as a deterrent to geographical movement. Contractual work comes along with ""non-compete"" clauses preventing workers from easily leaving their jobs for high paying ones. ",Occupational Licensing
0,62179d3ffb531fa8d9a549f5,,,,Monetization of public sector assets including disinvestment and asset recycling,O0001,,Business Line,,23/02/2022,Telecom is a capital-intensive industry. But BSNL has become sustainable. BSNL has made the first operating profit in FY-21 after many years. BSNL is also conducting proof of concept for development of 4G atmanirbhar technology stack. It will also roll out 5G after 4G. ,#UNION_MINISTER_FOR_COMMUNICATIONS,On merger of BSNL with BBNL (erstwhile MTNL),,,,,,,,,,
0,6217a05bfdef82a216256396,,,,"Policy issues in Information Technology including cross border data flows, Artificial Intelligence (AI) and Internet of Things , (IoT), etc.",S0001,,,"A policy proposal titled ""Draft India Data Accessibility and Use Policy"" had been recently released.",23/02/2022,,,,"It aims to “radically transform” India’s ability to harness public sector data for large-scale social transformation. It will be applicable to all data and information created, generated and collected by the government directly or through Ministries, Departments and authorised agencies.","The draft policy outlines an institutional framework entailing India Data Office, India Data Council and Data Management Units as key components.",State governments will be free to adopt the provisions and protocols as applicable.,Minimally processed data sets will be made freely available. Only detailed data sets that have undergone value addition/transformation and qualify for monetisation will be priced appropriately.,"For restricted access data sharing, pricing of datasets as decided by the owner government department or agency must be notified in a transparent manner.",,,,,
0,6217b62d57d0bd911006a818,,,,Ayurveda System of Medicine: Challenges and Prospects,S0002,,,The incidence of 'dieback disease' in Neem is said to be very high this year.,23/02/2022,,,,Dieback refers to the progressive death of twigs and branches which generally starts at the tips. It gradually leads to the death of the tree.,"The disease changes the leaf colour to pale green or yellow, scorches the leaf margins and reduces the growth of twigs and stem. ","Though there is no estimate of yields , Neem extract is widely used in remedial formulations.",The disease was first reported in India in Dehradun in 1992. ,,,,,,
0,6217b7546da228cd82e9c554,,,,"Policy issues in Information Technology including cross border data flows, Artificial Intelligence (AI) and Internet of Things , (IoT), etc.",O0002,,Business Line,,23/02/2022,"Value of data comes from relevance, quality, granularity and linkage to the use case. More clarity will be required to define ‘high value’ data sets as broader terms like “based on importance in the market”, “socio economic benefits” etc, which provide for wider powers to the incoming institutional body (Data council) to decide on these things won’t suffice. Also, we need to create strong processes to minimise hurdles in the standardisation of prices. The GDPR has some of the best practices of data collection and processing, and mentions that data should be collected for a specific purpose and should be kept only to fulfil the purpose and not be further processed. The moment data collection is incentivised, it becomes problematic and can go against purpose limitation and end up impacting data privacy. Strict access control is needed for proper anonymisation. It’s very easy to re-identify any data even after proper anonymisation.",#INDUSTRY_EXPERTS,On draft India Data Accessibility and Use Policy,,,,,,,,,,
0,6217b8406da228cd82e9c556,,,,Impact of Covid-19 on Rising Unemployment and Loss of Jobs/ Livelihood in Organised and Unorganised Sector,O0003,,Business Standard,,23/02/2022,"India should build infrastructure and increase openness. While manufacturers can focus on global markets, India should strengthen its position in services. The pandemic has increased the acceptability of high-value services in the digital medium. Since India has proven strengths in services, capitalising on them could help create more jobs. India has a track record in the information technology sector, and the scope of services can be expanded in other areas. In this context, among other things, having strong data protection laws would be critical. No individual or firm would want to deal with entities in a country where data is not secured.",#RAGHURAM_RAJAN,On creation of jobs,,,,,,,,,,
0,6217b8f96da228cd82e9c558,,,,Implementation of Corporate Social Responsibility (CSR) mandates,O0004,,Business Standard,,23/02/2022,"The expanded disclosure requirements demand an unprecedented level of granular detail- on ongoing and new projects, what funds have been left unspent, and whether capital assets have been created, impact assessment reports, constitution of the company’s CSR committee, the details of the committee, and approved CSR projects on the company’s website. More concerning, is the direction that the CSR mandate has taken. What started out as a comply-or-explain template for large companies under the United Progressive Alliance government has evolved into a quasi-legal commitment under its successor. In 2019, for instance, the government proposed to amend the law to treat non-compliance as a criminal offence. Though this amendment was later softened to a civil offence in 2021 after industry lobbies protested, the transition from a discretionary regime to a mandatory one had become explicit.",#EDITORIAL,On Corporate Social Responsibility disclosure norms,,,,,,,,,,
0,6217b9806da228cd82e9c55a,,,,Others,O0005,,The Hindu,,23/02/2022,"The recommendation for 10.5% reservation to the Vanniyakula Kshatriya was made in commensuration with their population as enumerated in a survey held in 1983 by the Tamil Nadu Second Backward Classes Commission. The Most Backward Classes within the Backward Classes were identified in Tamil Nadu as early as in 1957, when they were considered equivalent to Scheduled Castes but without the factor of untouchability. Tamil Nadu has a “history of granting reservation traceable to the year 1854 onwards, including the caste census being taken in 1872”.",#TAMIL_NADU_GOVERNMENT,On internal reservation to Vanniyakula Kshatriya and other communities within Most Backward Classes,,,,,,,,,,
0,6217ba536da228cd82e9c55c,,,,Citizens data security and privacy,O0006,,Indian Express,,23/02/2022,"Installation of CCTVs inside classrooms without obtaining the specific consent from either students or their parents and teachers is a ""gross and direct violation"" of the fundamental right to privacy. The act of live streaming footage is further violation of the right. In the complete absence of a data protection regime or any other statutory or regulatory framework to protect the citizens' data, the twin acts of obtaining and then storing children's data on private computers is fraught with danger. Such fears are compounded by the present-day reality including morphing and abuse of footage and also its' possible dissemination on social media and the internet.",#PUBLIC_INTEREST_LITIGATION,On CCTV monitoring of students by Delhi government,,,,,,,,,,
0,6217bae76da228cd82e9c55e,,,,Review of long-term public finances and debt at Centre and States,O0007,,Indian Express,,23/02/2022,"According to Article 293 (3) of the Constitution, without the consent of the government of India, states may not raise any loan, as long as ""there is still outstanding any part of a loan which has been made to the state by the Government of India"". Thus, state borrowings are circumscribed  by the Centre's approval. But over the past decade, the Union government has done away with the loan component in the Central plan's assistance. States' liabilities towards the Centre has been declining as per the 15th Finance Commission. But, the treatment of loans from multilateral organisations to states being routed through the Centre endows the Centre with greater sway over states' fiscal management. And, these loans are treated as capital expenditure as compared to grants which is a part of revenue expenditure.",#EDITORIAL,On fiscal federalism,,,,,,,,,,
0,6217bbe56da228cd82e9c560,,,,Atrocities and Crimes against Women and Children,S0003,,,National Commission for Protection of Child Rights has recently compiled the number of children living on streets.,23/02/2022,,,,"""Bal Swaraj"" is a portal created by NCPCR.","Maharashtra has the largest number of street children at 4952, followed by Gujarat (1990), Tamil Nadu (1703), Delhi (1653) and Madhya Pradesh (1492). Uttar Pradesh has the highest number of children living alone on the streets at 270.",,,,,,,,
0,62184c381d15946c8ec50970,,,,Medical Devices: Regulation & Control,O0008,,Business Line,,25/02/2022,"There is no venture capitalist mind set in regulatory panels. A regulator should understand when to do the efficacy trial and the relation between a clinical trial and the disease burden. But that knowledge is not there in this country. Biosecurity is as relevant and important as other security aspects. The incomplete scientific data or fluid scientific analysis cannot be accepted as duty and law, bind one, which is where things can be slow. The government needs to incentivise research in biopharma to help India transition from a low volume, high value player to a high volume, high value player.
",#INDUSTRY_EXPERTS,On vaccine manufacturing in India,,,,,,,,,,
0,62184cf61d15946c8ec50972,,,,Privatisation of Services at Airport,O0009,,Business Line,,25/02/2022,"Aircraft leasing in India’s a fairly new stream of business. The government has been boosting aircraft leasing through GIFT city in Gujarat. Globally, an aircraft is a collateral. In India, only an immovable asset is considered as a collateral. An aircraft costs anywhere between $30 million and $50 million. It is impossible for an entrepreneur to have that kind of a collateral facility. At present, banks do not have the mechanism to fund Indian lessors. This is needed at GIFT city which seems to be working in isolation and needs to be in complete sync with all regulatory authorities. For example, Bank of China made a subsidiary specifically to fund aircraft leasing, and other aviation related funding.",#INDUSTRY_EXPERTS,On aircraft lease financing,,,,,,,,,,
0,62184dab1d15946c8ec50974,,,,"Policy issues in Information Technology including cross border data flows, Artificial Intelligence (AI) and Internet of Things , (IoT), etc.",O0010,,Business Line,,25/02/2022,The government’s draft on the ‘India Data Accessibility and Use Policy’ is a move aimed to ensure more effective data-based governance paradigms for better and more broad-based governance. Issues of cyber security have not been addressed by the policy. This could have consent-related ramifications from the perspective of users. This policy could also have a direct conflict with the provisions of the Indian cyber law and the rules and regulations made there under. It could also compromise due diligence by the government in its capacity as an intermediary.,#INDUSTRY_EXPERTS,On the draft India Data Accessibility and Use Policy,,,,,,,,,,
0,62184fe91d15946c8ec50976,,,,Edible Oils,O0011,,Business Line,,25/02/2022,"The government needs to focus on measures such as a targeted approach, crop diversification, recalibration of minimum support price (MSP) and providing a technological push to increase edible oil production in the country. Mustard should be promoted in rabi as a replacement for wheat, and corn during kharif. Mustard will increase oil availability and corn can get diverted to ethanol. MSP has been a time tested and successful tool in increasing production over the years. However, we feel time has come to look at this MSP tool not only as an incentive but also as a disincentive. We also need to evaluate whether 23 crops need MSP announcement or it should be limited to what the nation wants. Edible oil import duties should be kept relatively high to ensure farmers are sufficiently enthused and the Government need not defend MSP by buying the produce and market forces can take care of procurement.",#OIL_LOBBY,On boosting edible oil production,,,,,,,,,,
0,6218508e1d15946c8ec50978,,,,Financing the MSME sector; its growth and regulation,O0012,,Business Line,,25/02/2022,"The prime focus of the Tamil Nadu State budget should be to facilitate investment, especially in the central and southern districts of Tamil Nadu to ensure equitable growth. Also, more focus must be given to Micro, Small and Medium Enterprises sector as it ensures job creation which is the need of the hour in these challenging times. Further, MSMEs need a special helping hand and should be exempted from approvals and inspections for the next three years under the State laws. For ease of doing business, Government should allow all companies to avail self-certification wherever possible for all licenses and renewals. The Authorised Economic Operator (AEO) programme by Customs is a successful example in this direction. The government needs to digitalise licencing processes through the Tamil Nadu Single Window Portal and manual submissions may be discontinued. The State government needs to identify and convince the industries both domestic and international) who are interested in starting PLI units and to provide necessary support in infrastructure and policy related matters.",#CONFEDERATION_OF_INDIAN_INDUSTRY,On boosting Tamil Nadu Economy,,,,,,,,,,
0,621850ed1d15946c8ec5097a,,,,"Inter-sectoral review of challenges of emerging and converging technologies, entities and practices",O0013,,Financial Express,,25/02/2022,"The growth in digital advertising has been steady, at 25-30% year-on-year, barring 2020. Online video is a dominant part of digital advertising, spanning from long-form videos on OTT platforms to short-format videos on social media. The latter is highly popular in non-metro markets. We are now seeing the rise of video-led commerce that is driving everything from awareness to purchase. One can now include shoppable features on videos, thus reducing friction points in the consumer's purchase journey. The digital ad buying ecosystem is full of middlemen. The transaction between market and the publisher is full of middlemen. One way to bring transparency here is through the application of the decentralised block chain technology.",#INDUSTRY_EXPERTS,On digital advertising ecosystem,,,,,,,,,,
0,6219c5bd62e9219ca28c5bde,,,,State of Indian Economy,O0014,,Business Line,,2022-02-26T00:00:00.000Z,"No one country today can plan for its recovery, particularly in an age when value chains have already brought us closer to each other. In order to recover following the Covid-19 pandemic, there should be investment for transition towards greener energy, investments for infrastructure building- soft human power as well as hard, asset creation and also greater investments in health and education, along with gender parity in the light of India's commitment to climate change. Economic recovery is not just about manufacturing but also investing in research and development. Manufacturing should not just be limited to tools but also drugs, chips, hydrogen and high chemistry materials.",#UNION_FINANCE_MINISTER,On recovery of Indian Economy,,,,,,,,,,
0,6219cc1c62e9219ca28c5be0,,,,"Vaccine Development, Distribution Management and Ministry of Pandemic Covid-19",O0015,,Business Standard,,2022-02-26T00:00:00.000Z,"The pandemic has opened up opportunities for the pharmaceutical sector to emerge as a second source of raw material and finished products after China. To tap into this potential, production-linked incentive (PLI) scheme for the industry needs be expanded to link it to research, and more specifically, for research in biologics and biosimilars. There is a huge growing interest in combination immunotherapies. But, the PLI scheme is skewed towards generic drugs. A huge emphasis is given to ANDAs (abbreviated new drug applications). There should have been a much greater allocation for biologics, biosimilars, cell and gene therapies. We are talking about atmanirbhar in terms of what we don’t produce — chemical, and generic drugs. PLI schemes need to evolve with time. We can have a research-PLI scheme, where research could be included in the PLI scheme.",#INDUSTRY_EXPERTS,On moving towards large molecules of biologics,,,,,,,,,,
0,621a01fccca56dd49f6be8f8,,,,Others,O0016,,Business Standard,,2022-02-26T00:00:00.000Z,"Although India’s reliance on Russia has been declining, Russia still accounts for most of India's arms imports. An analysis of data from Stockholm International Peace Research Institute (SIPRI) shows 49.4 per cent of India’s arms imports between 2016 and 2020 were from Russia, and 0.5 per cent were from Ukraine. In the previous five years, between 2011-15, Russia accounted for 69.6 per cent of India's total arms imports. In 1996-2010, the share was 70 per cent. On average a month, India imported 200,000-225,000 tonnes of sunflower oil, of which almost 70 per cent came from Ukraine and 20 per cent from Russia while the balance 10 per cent from Argentina.",#EXPERTS,On India's dependence on Russia-Ukraine,,,,,,,,,,
